data,ativo,valor
2020-03-02,ETH-USD,15.527297973632812
2020-03-02,USDT-USD,0.009350061416625977
2020-03-03,BTC-USD,196.6083984375
2020-03-03,ETH-USD,10.5931396484375
2020-03-03,USDT-USD,0.014793038368225098
2020-03-04,BTC-USD,130.9345703125
2020-03-04,ETH-USD,5.9515380859375
2020-03-04,USDT-USD,0.011469066143035889
2020-03-05,BTC-USD,384.80078125
2020-03-05,ETH-USD,9.722564697265625
2020-03-05,USDT-USD,0.009690999984741211
2020-03-06,BTC-USD,135.6162109375
2020-03-06,ETH-USD,14.8114013671875
2020-03-06,USDT-USD,0.008180022239685059
2020-03-07,BTC-USD,272.4765625
2020-03-07,ETH-USD,12.427200317382812
2020-03-07,USDT-USD,0.010329961776733398
2020-03-08,BTC-USD,809.0908203125
2020-03-08,ETH-USD,37.177703857421875
2020-03-08,USDT-USD,0.023801982402801514
2020-03-09,BTC-USD,487.6953125
2020-03-09,ETH-USD,15.181503295898438
2020-03-09,USDT-USD,0.019163012504577637
2020-03-10,BTC-USD,322.18212890625
2020-03-10,ETH-USD,7.649749755859375
2020-03-10,USDT-USD,0.019337952136993408
2020-03-11,BTC-USD,308.001953125
2020-03-11,ETH-USD,18.592147827148438
2020-03-11,USDT-USD,0.01340705156326294
2020-03-12,BTC-USD,3068.76220703125
2020-03-12,ETH-USD,83.93722534179688
2020-03-12,USDT-USD,0.11042803525924683
2020-03-13,BTC-USD,1731.1337890625
2020-03-13,ETH-USD,42.24523162841797
2020-03-13,USDT-USD,0.18531203269958496
2020-03-14,BTC-USD,500.1572265625
2020-03-14,ETH-USD,12.069900512695312
2020-03-14,USDT-USD,0.023808002471923828
2020-03-15,BTC-USD,667.36181640625
2020-03-15,ETH-USD,10.38848876953125
2020-03-15,USDT-USD,0.027227938175201416
2020-03-16,BTC-USD,809.87158203125
2020-03-16,ETH-USD,19.824676513671875
2020-03-16,USDT-USD,0.06394493579864502
2020-03-17,BTC-USD,389.439453125
2020-03-17,ETH-USD,8.581497192382812
2020-03-17,USDT-USD,0.057514965534210205
2020-03-18,BTC-USD,262.498046875
2020-03-18,ETH-USD,4.278511047363281
2020-03-18,USDT-USD,0.04030907154083252
2020-03-19,BTC-USD,1092.76708984375
2020-03-19,ETH-USD,25.79486083984375
2020-03-19,USDT-USD,0.05777597427368164
2020-03-20,BTC-USD,978.47998046875
